id,sessionid,scoringrule,treatment,subjectid,scenario_order,scenarioid,period,pur,p1r,p2r,urn,draw1,draw2,belief1,belief2,belief3,post1,post2,post3,crt,risk_switch_pe,risk_switch_ce,female,agree1,agree2,agree3
1,1,1,1,1,1,4,1,50,100,60,0,1,1,68,52,56,50,63,74,0,4,7,0,5,5,5
2,1,1,1,1,1,6,2,80,40,20,0,0,0,80,55,52,80,75,69,0,4,7,0,5,5,5
3,1,1,1,1,1,5,3,20,80,60,0,1,0,38,33,2,20,25,14,0,4,7,0,5,5,5
4,1,1,1,1,1,3,4,50,80,20,0,1,0,50,79,50,50,80,50,0,4,7,0,5,5,5
5,1,1,1,1,1,10,5,70,60,20,1,0,1,70,65,88,70,54,78,0,4,7,0,5,5,5
6,1,1,1,1,1,7,6,30,60,0,0,0,0,23,18,5,30,15,6,0,4,7,0,5,5,5
7,1,1,1,1,1,8,7,70,100,40,1,1,1,62,89,100,70,85,94,0,4,7,0,5,5,5
8,1,1,1,1,1,1,8,50,40,0,0,0,0,50,47,22,50,37,26,0,4,7,0,5,5,5
9,1,1,1,1,1,9,9,30,80,40,0,0,0,37,10,0,30,12,5,0,4,7,0,5,5,5
10,1,1,1,1,1,2,10,50,60,40,1,0,0,50,42,31,50,40,31,0,4,7,0,5,5,5
11,1,1,1,2,1,6,1,80,40,20,0,0,0,80,50,50,80,75,69,2,7,5,0,5,4,2
12,1,1,1,2,1,7,2,30,60,0,0,0,0,75,70,95,30,15,6,2,7,5,0,5,4,2
13,1,1,1,2,1,3,3,50,80,20,0,1,0,50,80,75,50,80,50,2,7,5,0,5,4,2
14,1,1,1,2,1,1,4,50,40,0,0,0,0,50,45,20,50,37,26,2,7,5,0,5,4,2
15,1,1,1,2,1,4,5,50,100,60,0,1,1,50,55,60,50,63,74,2,7,5,0,5,4,2
16,1,1,1,2,1,2,6,50,60,40,1,0,0,50,45,40,50,40,31,2,7,5,0,5,4,2
17,1,1,1,2,1,9,7,30,80,40,0,0,0,30,20,10,30,12,5,2,7,5,0,5,4,2
18,1,1,1,2,1,8,8,70,100,40,1,1,1,70,75,80,70,85,94,2,7,5,0,5,4,2
19,1,1,1,2,1,10,9,70,60,20,1,0,1,70,65,50,70,54,78,2,7,5,0,5,4,2
20,1,1,1,2,1,5,10,20,80,60,0,1,0,20,25,40,20,25,14,2,7,5,0,5,4,2
21,1,1,1,3,1,1,1,50,40,0,0,0,0,60,20,30,50,37,26,1,7,5,1,3,4,1
22,1,1,1,3,1,4,2,50,100,60,0,1,1,69,74,72,50,63,74,1,7,5,1,3,4,1
23,1,1,1,3,1,2,3,50,60,40,1,0,0,50,43,43,50,40,31,1,7,5,1,3,4,1
24,1,1,1,3,1,7,4,30,60,0,0,0,0,27,29,26,30,15,6,1,7,5,1,3,4,1
25,1,1,1,3,1,6,5,80,40,20,0,0,0,80,74,71,80,75,69,1,7,5,1,3,4,1
26,1,1,1,3,1,8,6,70,100,40,1,1,1,69,66,67,70,85,94,1,7,5,1,3,4,1
27,1,1,1,3,1,10,7,70,60,20,1,0,1,70,55,73,70,54,78,1,7,5,1,3,4,1
28,1,1,1,3,1,3,8,50,80,20,0,1,0,50,65,60,50,80,50,1,7,5,1,3,4,1
29,1,1,1,3,1,9,9,30,80,40,0,0,0,28,30,20,30,12,5,1,7,5,1,3,4,1
30,1,1,1,3,1,5,10,20,80,60,0,1,0,25,30,30,20,25,14,1,7,5,1,3,4,1
31,1,1,1,4,1,10,1,70,60,20,1,0,1,70,71,70,70,54,78,0,4,8,1,5,5,4
32,1,1,1,4,1,7,2,30,60,0,0,0,0,30,30,0,30,15,6,0,4,8,1,5,5,4
