id,choice_p20,choice_p30,first_choice
1,10,30,30
2,50,50,30
3,60,50,30
4,20,30,30
5,20,30,20
6,40,30,30
7,10,30,20
8,30,30,30
9,10,20,20
10,20,30,30
11,30,30,30
12,50,50,20
13,0,0,20
14,10,10,30
15,20,30,30
16,20,30,20
17,30,30,30
18,20,30,30
19,50,50,20
20,50,100,30
21,20,30,20
22,10,20,20
23,30,40,20
24,50,10,20
25,40,70,30
26,70,70,20
27,20,30,30
28,0,40,20
29,10,30,30
30,20,30,30
31,20,30,30
32,0,20,20
33,50,40,20
34,10,20,30
35,20,30,20
36,20,30,30
37,50,50,20
38,40,40,20
39,30,40,20
40,10,30,30
41,30,30,20
42,20,50,20
43,30,30,20
44,30,40,20
45,50,50,20
46,30,20,30
47,30,30,20
48,20,30,30
49,60,30,20
50,80,40,30
51,10,10,30
52,10,10,30
53,30,20,30
54,20,30,30
55,50,50,30
56,40,50,30
57,40,40,20
58,30,50,30
59,40,50,20
60,30,50,20
61,60,60,30
62,30,40,20
63,50,50,30
64,40,30,30
65,30,40,30
66,30,40,20
67,50,30,20
68,0,40,30
69,20,20,20
70,20,40,20
71,50,60,20
72,10,10,30
73,30,20,20
74,20,30,30
75,50,50,30
76,30,40,20
77,30,40,20
78,40,50,20
79,10,20,20
80,20,40,30
81,30,30,30
