id,sessionid,subjectid,info,score1,score2,score3,choice,b_to_1,b_to_2,b_to_3,b_to_4,female
1,1,1,0,19,25,29,1,75,25,0,0,0
2,1,2,0,18,19,22,0,0,25,50,25,1
3,1,3,0,18,10,20,1,20,55,15,10,0
4,1,4,0,15,15,17,0,50,50,0,0,1
5,1,5,0,22,20,21,1,40,40,15,5,0
6,1,6,0,14,15,15,0,15,25,30,30,
7,1,7,0,21,17,18,0,30,40,30,0,0
8,1,8,0,19,16,24,0,5,5,50,40,1
9,1,9,0,21,23,24,1,50,30,20,0,0
10,1,10,0,22,24,26,1,60,24,15,1,1
11,1,11,0,16,16,19,0,30,30,25,15,0
12,1,12,0,18,11,24,0,25,45,20,10,0
13,1,13,0,23,20,24,0,40,40,15,5,1
14,1,14,0,27,25,31,0,50,25,13,12,
15,1,15,0,22,29,26,1,45,40,15,0,1
16,1,16,0,36,34,43,1,50,25,25,0,0
17,2,17,1,33,31,35,1,70,30,0,0,0
18,2,18,1,14,11,16,0,10,30,50,10,1
19,2,19,1,15,10,19,0,10,25,25,40,0
20,2,20,1,26,26,29,0,0,50,50,0,1
21,2,21,1,17,17,19,1,40,30,20,10,0
22,2,22,1,18,21,22,0,30,40,25,5,1
23,2,23,1,20,20,25,0,59,31,5,5,0
24,2,24,1,16,17,20,1,60,15,15,10,1
25,2,25,1,9,14,18,1,40,40,20,0,0
26,2,26,1,15,10,18,1,25,25,25,25,1
27,2,27,1,18,21,21,0,25,25,25,25,0
28,2,28,1,8,13,18,1,20,45,35,0,0
29,3,29,0,17,16,25,1,50,25,15,10,1
30,3,30,0,22,22,24,0,20,50,20,10,0
31,3,31,0,28,24,28,1,20,20,40,20,1
32,3,32,0,15,10,16,1,30,40,20,10,0
33,3,33,0,19,15,25,0,10,40,40,10,1
34,3,34,0,19,16,22,1,35,35,15,15,0
35,3,35,0,13,13,17,0,25,25,25,25,1
36,3,36,0,24,25,31,0,33,33,25,9,0
37,3,37,0,17,22,22,1,35,50,15,0,1
38,3,38,0,23,22,24,1,55,35,10,0,0
39,3,39,0,10,13,12,0,10,30,30,30,1
40,3,40,0,21,17,24,0,50,25,25,0,0
41,3,41,0,15,16,17,0,10,40,40,10,0
42,3,42,0,12,10,16,0,10,20,40,30,1
43,3,43,0,15,12,18,1,75,25,0,0,0
44,3,44,0,29,36,39,1,86,14,0,0,1
45,3,45,0,20,22,27,1,50,25,25,0,0
46,3,46,0,23,25,32,1,95,5,0,0,1
47,3,47,0,16,21,24,1,70,20,10,0,0
48,3,48,0,11,15,16,0,35,25,20,20,1
49,3,49,0,12,13,15,0,20,27,28,25,1
50,3,50,0,23,28,31,0,25,40,25,10,0
51,3,51,0,19,22,21,1,40,40,20,0,1
52,3,52,0,13,11,15,1,25,25,25,25,0
53,4,53,1,14,14,12,0,20,40,30,10,0
54,4,54,1,13,12,19,0,33,34,33,0,1
55,4,55,1,14,14,20,0,50,25,15,10,0
56,4,56,1,15,15,17,0,60,35,5,0,1
57,4,57,1,23,27,27,0,25,25,25,25,0
58,4,58,1,21,16,24,1,60,20,10,10,1
59,4,59,1,16,10,14,1,33,33,34,0,0
60,4,60,1,12,14,18,0,12,20,40,28,1
61,4,61,1,22,24,26,1,40,50,10,0,0
62,4,62,1,16,11,16,1,50,50,0,0,1
63,4,63,1,17,17,19,0,23,35,22,20,0
64,4,64,1,14,15,18,0,15,35,30,20,1
65,4,65,1,24,29,28,1,35,30,25,10,0
66,4,66,1,21,24,27,0,10,40,40,10,1
67,4,67,1,15,10,15,1,25,25,25,25,1
68,4,68,1,18,18,21,0,5,30,50,15,0
69,4,69,1,23,22,31,0,35,40,15,10,0
70,4,70,1,16,16,18,0,5,20,30,45,0
71,4,71,1,23,26,33,0,25,50,25,0,0
72,4,72,1,27,29,29,1,100,0,0,0,0
73,5,73,0,10,13,14,1,35,15,20,30,1
74,5,74,0,16,14,20,0,25,30,30,15,1
75,5,75,0,23,17,25,1,50,25,25,0,0
76,5,76,0,21,18,23,1,30,30,30,10,1
77,5,77,0,19,23,22,1,25,30,30,15,0
78,5,78,0,28,25,32,0,35,35,20,10,1
79,5,79,0,23,25,30,1,35,35,20,10,0
80,5,80,0,16,20,21,0,0,25,75,0,1
81,5,81,0,20,20,26,1,25,25,25,25,0
82,5,82,0,5,7,6,0,0,0,0,100,1
84,5,84,0,19,21,24,1,50,20,20,10,1
85,5,85,0,17,24,31,1,80,20,0,0,
86,5,86,0,18,17,25,0,20,35,30,15,1
87,5,87,0,38,37,39,1,35,30,20,15,0
88,5,88,0,17,19,23,0,35,35,15,15,1
89,5,89,0,22,23,26,1,50,40,10,0,0
90,5,90,0,21,22,21,0,20,50,20,10,1
91,5,91,0,14,16,21,1,100,0,0,0,0
92,5,92,0,15,21,22,1,75,20,5,0,1
93,5,93,0,25,25,26,1,45,40,15,0,0
94,5,94,0,18,11,22,1,0,25,75,0,1
95,5,95,0,26,35,31,1,90,10,0,0,0
96,5,96,0,12,16,22,1,50,50,0,0,1
97,6,97,1,10,9,17,0,0,20,40,40,1
98,6,98,1,16,22,24,1,40,30,20,10,0
99,6,99,1,14,11,17,0,60,30,10,0,1
100,6,100,1,14,19,17,1,0,0,50,50,0
101,6,101,1,35,32,35,0,40,30,30,0,1
