Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63507e8d93a07a82cdb5b80b,5e7b996210272308613b4665,APPROVED,2022-10-19T22:47:45.936000Z,2022-10-19T22:58:22.204000Z,2022-10-20T03:19:43.794000,2022-10-19T22:58:22.545585Z,637,C15VE5UC,590,English,35,Female,White,United States,United States,United States,English,No,Part-Time
6350809d9886822d04533806,55a43cf3fdf99b02ff6cb0b4,APPROVED,2022-10-19T22:58:08.474000Z,2022-10-19T23:21:13.022000Z,2022-10-20T03:19:43.875000,2022-10-19T23:21:13.425331Z,1385,C15VE5UC,2133,English,46,Female,Mixed,United States,United States,United States,English,No,DATA_EXPIRED
6350815f066a05b24eb66776,5eea49c09e6f8711b4cdf3bb,APPROVED,2022-10-19T22:59:46.444000Z,2022-10-19T23:21:05.310000Z,2022-10-20T03:19:43.953000,2022-10-19T23:21:05.707182Z,1279,C15VE5UC,336,English,25,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
6350817b3c58ce52485cd6df,54a7516dfdf99b7cd759d22b,APPROVED,2022-10-19T23:00:14.454000Z,2022-10-19T23:26:32.482000Z,2022-10-20T03:19:44.032000,2022-10-19T23:26:32.804553Z,1579,C15VE5UC,1487,English,47,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
635081a05d9065a6c5ee1b1c,60ff7eff172d79384b6546b7,APPROVED,2022-10-19T23:01:02.379000Z,2022-10-19T23:22:14.909000Z,2022-10-20T03:19:44.114000,2022-10-19T23:22:15.221806Z,1273,C15VE5UC,59,"English, Spanish",23,Female,Mixed,United States,United States,United States,Spanish,No,DATA_EXPIRED
6350821f3a00bfd30bde7cd7,60fde5d89e4a23234cadb4f5,APPROVED,2022-10-19T23:02:58.463000Z,2022-10-19T23:15:28.343000Z,2022-10-20T03:19:44.196000,2022-10-19T23:15:28.678951Z,750,C15VE5UC,298,English,21,Female,Mixed,United States,United States,United States,English,Yes,Unemployed (and job seeking)
6350826011aa2556448ec080,5fdcd8be3986cc281ac5952e,APPROVED,2022-10-19T23:04:06.331000Z,2022-10-19T23:22:41.348000Z,2022-10-20T03:19:44.279000,2022-10-19T23:22:41.702331Z,1116,C15VE5UC,263,English,20,Female,White,United States,United States,United States,English,Yes,Part-Time
635083395d9065a6c5ee1b30,60df9fdeab12699f246cab91,APPROVED,2022-10-19T23:07:42.166000Z,2022-10-19T23:32:53.756000Z,2022-10-20T03:19:44.361000,2022-10-19T23:32:54.628305Z,1512,C15VE5UC,527,English,55,Male,White,United States,United States,United States,English,No,Full-Time
63508389a179d97f0cf2da68,5f94df987e277732aa8e6080,APPROVED,2022-10-19T23:09:00.871000Z,2022-10-19T23:27:55.208000Z,2022-10-20T03:19:44.447000,2022-10-19T23:27:55.502448Z,1135,C15VE5UC,252,English,25,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6350845b6c59d54d118c2afc,5ffff3ac6fc9001772ea3312,APPROVED,2022-10-19T23:12:30.824000Z,2022-10-19T23:47:22.210000Z,2022-10-20T03:19:44.527000,2022-10-19T23:47:22.764102Z,2092,C15VE5UC,1014,English,31,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
