Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
635951dfa8a5ad3d25be17a6,5d8c46cc53b833001a4bf916,APPROVED,2022-10-26T15:27:27.188000Z,2022-10-26T15:41:58.832000Z,2022-10-26T18:26:48.498000,2022-10-26T15:41:59.286786Z,872,CFT7JP8I,791,English,22,Female,Mixed,United States,United States,United States,English,Yes,Part-Time
63595266a614e90a121f81db,5a0071766e1ea9000124db35,APPROVED,2022-10-26T15:29:48.688000Z,2022-10-26T15:59:11.832000Z,2022-10-26T18:26:48.636000,2022-10-26T15:59:12.300526Z,1764,CFT7JP8I,1551,English,55,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
635952a17a31fb745c4b9a83,5a776b5aae9a0b0001a9631d,APPROVED,2022-10-26T15:30:44.168000Z,2022-10-26T15:41:01.289000Z,2022-10-26T18:26:48.776000,2022-10-26T15:41:01.642145Z,618,CFT7JP8I,1437,English,35,Male,White,United States,United States,United States,English,No,Full-Time
635953b24104bcf332d088e9,5b75b2ebc5e14d00013669fc,APPROVED,2022-10-26T15:35:17.266000Z,2022-10-26T15:46:29.910000Z,2022-10-26T18:26:48.914000,2022-10-26T15:46:30.224740Z,673,CFT7JP8I,224,English,38,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
635953f8293ab5bac8b3b6d6,5bc151ece6491a00013a21f3,APPROVED,2022-10-26T15:36:24.351000Z,2022-10-26T15:53:22.892000Z,2022-10-26T18:26:49.058000,2022-10-26T15:53:23.667889Z,1019,CFT7JP8I,1100,English,32,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63595411cc0b46e5fa57ef14,610038371297afd6f2db9323,APPROVED,2022-10-26T15:37:07.369000Z,2022-10-26T15:56:19.215000Z,2022-10-26T18:26:49.196000,2022-10-26T15:56:19.617475Z,1152,CFT7JP8I,730,English,22,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
635955bb3f8663a41742f236,5955a3eb98c9c400019f5c5f,APPROVED,2022-10-26T15:44:09.127000Z,2022-10-26T16:15:57.787000Z,2022-10-26T18:26:49.341000,2022-10-26T16:15:58.193115Z,1909,CFT7JP8I,1856,"English, Spanish",25,Female,Black,United States,United States,United States,English,No,DATA_EXPIRED
635955c890c63a6a0acd653d,6155b9c45f96867d9d9631fd,APPROVED,2022-10-26T15:44:31.707000Z,2022-10-26T16:06:19.866000Z,2022-10-26T18:26:49.481000,2022-10-26T16:06:21.581465Z,1309,CFT7JP8I,590,English,29,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
63595606db1534fe643d0b79,6102c843811b2ec9d92767ad,APPROVED,2022-10-26T15:50:56.260000Z,2022-10-26T16:25:31.956000Z,2022-10-26T18:26:49.623000,2022-10-26T16:25:34.111435Z,2076,CFT7JP8I,838,English,35,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6359b4e4701d8c7bc9a7058c,62bdcbd1a1792d25af8c4e96,AWAITING REVIEW,2022-10-26T22:29:59.028000Z,2022-10-26T23:27:16.282000Z,,2022-10-26T23:27:16.643935Z,3438,CFT7JP8I,328,English,27,Prefer not to say,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
